N;POP;LG;LGF;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;LGM;LGS
1;449171;59621;56145;1188;446;318;0;148;74;0;0;0;157;3656;0;49883;0;0;0;190;49;5;11;18;2;0;0;0;0;0;0;3451;44
2;2384812;407745;400480;361;4048;1130;253;231;75;71;2;8;10192;4111;794;368832;453;104;1421;654;126;5971;27;21;9;0;0;619;946;19;2;5163;2428
3;809873;96936;87441;28;3525;33;17;73;552;76;0;4;3648;2071;95;76667;150;329;79;69;2;2;17;1;3;0;0;0;0;0;0;1795;8091
4;1139950;191205;188691;2535;1839;286;65;118;122;0;87;0;714;2396;442;179567;19;28;83;204;23;4;130;17;1;0;0;0;0;11;0;2142;530
5;1021287;151158;136782;248;2883;427;76;56;84;0;8;0;1394;17197;444;113722;0;6;0;104;24;0;94;1;2;10;2;0;0;0;0;14163;411
6;4071987;510277;501746;5312;3578;2326;457;264;404;69;151;0;5807;7947;5544;468248;196;27;103;906;44;0;90;69;9;7;8;4;22;153;1;7859;1087
7;1547936;330964;181370;1146;2169;1228;235;267;424;11;0;0;2973;17210;11097;125102;0;0;0;19154;73;1;222;44;13;0;0;0;0;0;1;151742;804
8;1232940;275529;272990;735;846;673;97;84;167;2;2;0;10098;1694;620;153210;0;9;0;103456;1210;9;20;11;9;0;0;0;0;38;0;3469;408
9;978495;86771;86756;5;277;34;14;28;59;42;0;23;1979;2367;59;81712;0;0;1;28;2;0;6;2;87;0;0;0;0;31;0;10;104
10;1370268;10737;7739;30;0;11;29;2;2;0;0;0;880;1853;10;4915;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;3002;2
11;3497274;668488;658116;1219;8302;2342;286;297;151;440;441;72;5847;10246;5067;596883;0;396;17840;2730;2671;62;484;114;4;4;6;0;0;2211;1;10950;1889
12;50540;1124;1125;0;0;0;0;0;0;0;0;0;0;0;0;1123;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
13;1238071;207781;205832;435;1190;1451;119;91;190;88;14;0;5469;2719;147;191609;403;21;290;809;3;4;12;13;3;0;0;0;0;752;0;3385;245
14;5191690;884515;878541;5906;15594;1703;497;243;0;0;3400;0;2732;46638;952;800170;0;0;0;82;0;44;386;78;6;35;7;0;0;68;0;3515;2906
15;2990371;40009;38663;15;39;216;1;1;27;17;3;0;5025;2504;82;28005;707;1;5;15;1;9;0;0;0;0;0;0;0;1990;0;3334;8
16;213703;22393;21458;0;217;42;16;22;0;44;0;0;0;3542;0;17563;0;0;0;10;0;0;0;0;0;2;0;0;0;0;0;924;15
17;463893;4631;2839;9;2;0;0;8;0;0;0;0;195;199;1118;1077;0;0;0;230;0;0;0;0;0;0;0;0;0;1;0;1809;0
18;2414913;380634;377163;573;7304;260;460;212;610;250;17;0;10352;6188;3379;345378;1068;376;157;137;12;85;37;13;21;0;0;2;1;271;0;2472;1560
19;1036909;158884;157434;1591;1425;853;159;197;312;0;36;0;2717;5775;202;141922;830;44;506;557;15;20;10;24;1;0;0;0;0;237;1;1562;107
20;860709;64859;64832;444;289;317;42;95;5;255;7;15;2052;889;1468;58516;0;0;0;209;23;52;13;12;5;2;3;0;0;119;0;33;10
21;968944;110472;109225;178;9482;399;230;78;0;0;0;0;967;2952;747;90107;598;0;2941;452;18;16;49;5;3;1;1;0;0;1;0;1185;109
22;280564;38152;36994;81;195;133;36;47;24;0;1;0;30;1991;48;34092;0;0;0;288;0;0;2;0;0;2;1;0;0;23;0;649;661
23;1010486;218446;215879;2023;2048;544;179;111;643;3;47;0;1886;3986;413;171001;365;4;478;31394;37;1;22;12;3;0;0;1;0;677;1;2964;353
24;317269;41631;41339;0;430;0;146;2;11;20;1;0;278;20;4;15907;0;0;24461;48;0;0;4;2;5;0;0;0;0;0;0;217;128
25;469060;25267;26220;3;0;98;4;0;5;61;0;0;2145;2319;2730;17579;5;0;0;14;0;0;1;0;0;0;0;0;0;1256;0;336;4
26;632533;112143;110329;1399;1755;170;43;46;172;17;3;0;1730;3633;67;100862;16;1;10;303;0;0;12;41;5;2;0;5;5;32;0;3097;122
27;2724990;482355;405128;283;3778;651;358;145;771;97;2;2;14145;5738;829;369344;4761;127;846;230;4;27;83;1;6;0;0;0;0;2900;0;80850;679
28;1338305;218225;217248;230;5221;144;109;100;374;0;5;10;3468;459;613;187015;18793;46;262;130;0;0;8;23;1;0;0;43;194;0;0;459;985
29;535796;84783;83327;345;1652;168;78;69;93;0;0;0;1395;840;299;78267;5;0;3;72;0;0;25;5;0;1;0;0;0;10;0;1407;103
30;1612076;210191;161340;701;1929;1092;69;48;148;6;1;34;3020;1712;770;150984;52;64;0;606;16;12;20;12;3;2;39;0;0;0;0;48601;354
31;1304348;268244;256375;3322;2444;722;161;175;289;134;0;0;1403;7850;1511;218082;10039;31;9254;897;9;13;16;14;3;1;1;0;1;3;0;11393;935
32;864424;125764;121299;595;864;500;144;47;387;22;0;0;395;3963;545;112465;412;82;303;477;65;1;1;7;0;2;0;0;2;20;0;4240;310
33;654390;113071;114179;334;2370;413;60;89;68;0;0;0;3260;6881;312;89667;547;120;3979;764;28;1;18;25;2;1;0;0;0;5240;0;1343;376
34;5453329;873171;793338;7782;7791;1747;391;629;958;1393;149;34;13470;24213;2412;688476;34017;14;5048;2239;436;110;248;250;29;18;3;0;0;1477;4;80987;2758
35;2858773;454717;446366;1443;2575;756;163;261;1341;382;127;0;7659;6180;4741;419534;260;198;15;449;13;24;37;25;15;1;0;0;0;167;0;8272;493
36;869814;144902;141161;1032;2462;820;169;187;437;121;0;0;3748;1651;269;124384;4858;6;0;312;417;5;200;10;1;1;0;0;0;71;0;3590;424
37;1117378;253491;244817;1233;4905;495;108;140;223;12;0;0;2571;4876;4540;156740;6229;416;0;62275;8;4;14;4;2;1;1;0;0;20;0;8734;177
38;1775540;284472;309763;1076;10812;977;178;162;946;1500;123;1;3439;7445;960;244830;276;122;53;2558;90;15;354;125;10;5;1;1;2;33702;0;7945;462
39;1157865;247665;176655;2786;1713;1155;58;161;120;1509;96;0;3537;12675;61;136600;0;9;0;15216;15;21;85;5;3;0;0;424;4;402;0;72159;953
40;148071;10657;10642;0;32;0;0;0;3;0;0;0;12;56;62;10460;0;0;0;0;0;14;0;0;0;0;0;0;0;3;0;11;9
41;687435;113051;112919;140;2277;688;26;90;44;238;0;0;4042;2540;185;102202;108;0;108;90;35;1;9;49;2;0;2;0;0;43;0;78;131
42;808888;123610;123260;169;1037;498;108;45;120;30;83;0;3093;2643;689;112683;159;19;232;899;100;7;575;32;0;0;0;0;0;39;0;205;202
43;12197596;1688820;1687779;12634;18138;2030;274;388;1821;306;173;41;19510;69367;5034;1526992;12911;1794;7396;7058;0;0;501;126;206;19;15;731;18;237;59;6598;1517
44;7231068;1160644;1102607;10068;33061;4748;949;684;2801;818;1183;230;30429;25567;6331;963897;2494;487;3656;9403;224;3616;853;391;122;26;15;7;0;525;22;58299;1373
45;766281;158095;145627;1025;3028;189;63;20;14;86;266;2;263;1308;509;138468;76;7;3;254;30;0;8;1;7;0;0;0;0;0;0;12278;256
46;43373;4087;3779;7;258;3;0;0;0;0;0;0;33;38;8;3403;11;2;14;2;0;0;0;0;0;0;0;0;0;0;0;303;6
47;3270203;553810;534901;503;5825;1481;206;190;465;209;197;0;12849;8634;1696;501144;2;4;0;927;18;3;113;21;2;0;0;0;0;412;0;19168;686
48;705270;62770;61828;694;757;57;39;61;205;120;1;28;445;1367;848;55273;97;7;39;79;1481;0;3;63;5;157;0;0;0;2;0;832;164
49;618703;111165;96635;463;2246;617;72;49;10;73;18;0;3233;3544;478;83038;1165;90;895;579;12;6;8;21;3;1;0;0;0;14;0;14401;246
50;2746822;378446;340568;1180;4530;432;126;78;73;440;6;2;4637;1703;912;324689;1238;9;46;290;16;0;36;18;7;0;0;0;0;100;0;38016;398
51;1978183;271148;270114;391;1650;50;102;111;1223;9;9;1;10810;2942;1034;250905;105;0;265;449;3;5;5;3;3;1;1;0;0;37;0;31;1114
52;765231;169228;179048;602;1370;179;50;74;245;27;5;2;2646;4168;826;121379;2;1;0;35010;7;43;5;12;2;1;0;0;0;12392;0;2548;120
53;2001110;336273;241283;1151;1608;2086;199;154;222;622;439;0;10916;12792;2475;208103;7;43;0;353;20;5;41;35;0;10;0;0;0;2;0;95799;369
54;2637032;187774;187379;313;2904;714;85;103;324;230;217;37;4540;875;690;176116;31;22;0;123;2;0;41;5;0;1;2;0;0;4;0;357;364
55;1355618;490751;487176;298;4188;1610;315;167;458;4;111;0;13023;6674;2942;455456;748;12;48;610;50;31;16;10;3;0;0;0;0;402;0;2893;1642
56;1933308;298147;265241;449;5205;109;188;128;589;573;32;0;5913;5777;2152;215812;1407;77;12731;292;2;11;172;10;5;0;6;0;0;13599;2;46382;970
57;651108;85384;85122;478;3067;227;93;141;105;184;273;0;663;3528;1181;74379;189;11;88;458;32;0;11;2;2;0;0;0;0;10;0;209;89
58;4242080;762085;758285;6864;6976;1678;673;432;2298;533;19;121;12155;68223;765;610573;34581;501;4687;2450;225;474;200;109;39;2;1;0;0;3706;0;8246;2373
59;1135438;227627;224193;564;2841;345;125;134;40;70;3;23;8673;11035;217;170424;15231;0;155;10897;3392;0;3;3;2;6;0;0;0;0;10;3288;296
60;488391;55646;55022;0;187;30;11;12;0;0;8;79;159;222;549;53728;0;0;0;33;0;0;0;0;4;0;0;0;0;0;0;538;99
61;956896;109596;108492;35;353;78;24;62;193;81;2;12;1109;2910;1083;98878;460;70;2610;37;6;0;1;2;2;0;0;0;0;484;0;1386;91
62;3212676;573929;462533;3331;3264;2853;305;236;778;1123;40;0;7331;16581;505;423844;809;48;0;925;64;9;115;3;20;337;1;0;0;11;0;113255;337
63;2493024;459781;455341;2835;8029;2028;438;269;711;340;20;0;7754;8033;1177;418751;1010;42;1445;828;65;15;79;32;4;2;0;6;0;1428;0;3615;2180
64;964791;159335;106247;308;5091;635;53;69;231;0;0;0;4866;956;770;91767;182;0;0;954;2;4;21;27;4;1;0;0;0;306;0;55166;290
65;2799473;378659;372165;4245;4525;1182;307;404;547;913;191;116;5022;21340;3308;324342;3233;0;0;995;116;1;29;6;92;5;0;0;0;1246;0;7240;1015
66;4327472;843907;774275;1228;4584;1987;726;463;996;337;880;116;15963;10650;2239;708267;1040;276;17080;1677;199;16;132;0;2;6;0;1;2;5408;0;77967;2446
67;1062421;253055;203936;3294;6155;535;429;179;160;830;139;0;4449;5414;3897;125383;2014;0;0;1337;122;4632;23;155;5;0;2;40711;361;3710;0;56662;668
68;3855037;658610;651630;1601;5137;3726;589;310;805;328;18;0;12319;22737;4689;595392;1485;151;118;1303;68;41;45;19;411;9;6;0;0;323;0;5875;1758
69;1074453;171377;170419;328;2817;579;65;57;112;0;0;0;780;3475;1060;160249;127;2;8;694;23;1;13;29;0;0;0;0;0;0;0;32;1093
70;1513570;449615;448482;1997;1786;1438;188;90;281;86;15;0;295;17904;2241;220442;517;19;112;197001;26;16;61;173;2;0;3;0;0;3788;1;5584;222
71;313777;19852;19823;135;224;25;106;3;2;28;0;0;239;1588;1;17463;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;25;15
72;1315071;204937;203845;389;2605;644;39;109;345;187;3;0;2769;3681;2045;189971;70;18;139;677;51;8;57;10;5;21;0;0;0;2;0;837;353
73;1429232;209640;205339;191;634;717;44;96;0;0;0;10;967;4787;1005;196229;40;20;57;387;10;4;17;2;0;1;4;0;0;117;0;4225;323
74;1517472;220788;213474;1204;2141;531;142;116;81;39;0;0;4333;3194;1063;195631;2800;634;758;615;55;9;79;4;0;0;0;0;0;45;0;6935;804
75;1262549;240606;180981;1499;1477;441;84;72;874;59;54;34;2777;3473;1854;166199;1038;21;67;345;26;153;43;1;1;0;2;0;0;387;0;21528;40744
76;1405613;252453;251903;518;3158;601;113;115;494;84;36;0;3863;6852;2564;231376;0;0;804;1058;13;13;198;15;2;0;0;0;8;18;0;0;678
77;2557397;487875;483690;5362;5515;1299;249;453;181;224;555;2;2895;12746;513;447263;965;0;1;1276;135;23;198;51;4;3;2;0;0;3775;0;7530;1397
78;1191010;232934;231387;2175;4562;541;65;133;1116;3;9;0;5565;9681;407;204302;1644;30;303;380;1;2;29;3;1;0;0;5;9;421;0;1470;763
79;2331147;461748;454291;3651;5683;1648;331;806;2282;535;4;0;3383;25976;393;381805;1289;6;15762;8135;187;28;48;76;4;81;2;0;0;2175;1;11437;879
80;539985;39422;32508;0;311;160;9;1;49;5;1;0;103;141;361;31224;24;0;0;12;72;0;17;12;6;0;0;0;0;0;0;6917;16
81;1271629;247018;246002;539;2902;432;1045;99;355;102;1;0;3188;5351;992;224767;643;331;0;789;4;5;42;8;14;1;0;6;10;4375;1;2422;699
82;168368;24121;23851;130;411;8;11;15;7;0;120;0;51;612;40;22281;66;3;67;29;0;0;0;0;0;0;0;0;0;0;0;0;314
83;1087452;96493;95500;95;3772;167;82;67;32;5;0;37;4518;452;92;78528;0;0;7563;77;0;0;7;0;0;1;0;0;0;5;0;590;572
84;340000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;1900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
